Plik: data/paczki_1000_100x100_10.txt, Długość trasy: 50874.06
Plik: data/paczki_1000_100x100_100.txt, Długość trasy: 88500.74
Plik: data/paczki_1000_100x100_20.txt, Długość trasy: 54296.75
Plik: data/paczki_1000_100x100_30.txt, Długość trasy: 60154.83
Plik: data/paczki_1000_100x100_40.txt, Długość trasy: 63178.41
Plik: data/paczki_1000_100x100_50.txt, Długość trasy: 66552.26
Plik: data/paczki_1000_100x100_60.txt, Długość trasy: 69964.15
Plik: data/paczki_1000_100x100_70.txt, Długość trasy: 74329.41
Plik: data/paczki_1000_100x100_80.txt, Długość trasy: 81220.42
Plik: data/paczki_1000_100x100_90.txt, Długość trasy: 83399.05
Plik: data/paczki_1000_100x110_10.txt, Długość trasy: 53541.65
Plik: data/paczki_1000_100x110_100.txt, Długość trasy: 94102.12
Plik: data/paczki_1000_100x110_20.txt, Długość trasy: 58186.67
Plik: data/paczki_1000_100x110_30.txt, Długość trasy: 61768.32
Plik: data/paczki_1000_100x110_40.txt, Długość trasy: 66042.90
Plik: data/paczki_1000_100x110_50.txt, Długość trasy: 72912.49
Plik: data/paczki_1000_100x110_60.txt, Długość trasy: 75803.20
Plik: data/paczki_1000_100x110_70.txt, Długość trasy: 78504.77
Plik: data/paczki_1000_100x110_80.txt, Długość trasy: 85869.88
Plik: data/paczki_1000_100x110_90.txt, Długość trasy: 90160.39
Plik: data/paczki_1000_100x120_10.txt, Długość trasy: 52803.62
Plik: data/paczki_1000_100x120_100.txt, Długość trasy: 96958.89
Plik: data/paczki_1000_100x120_20.txt, Długość trasy: 59811.28
Plik: data/paczki_1000_100x120_30.txt, Długość trasy: 62758.55
Plik: data/paczki_1000_100x120_40.txt, Długość trasy: 68384.53
Plik: data/paczki_1000_100x120_50.txt, Długość trasy: 71004.22
Plik: data/paczki_1000_100x120_60.txt, Długość trasy: 74725.97
Plik: data/paczki_1000_100x120_70.txt, Długość trasy: 81328.47
Plik: data/paczki_1000_100x120_80.txt, Długość trasy: 87714.30
Plik: data/paczki_1000_100x120_90.txt, Długość trasy: 93077.50
Plik: data/paczki_1000_100x130_10.txt, Długość trasy: 54641.95
Plik: data/paczki_1000_100x130_100.txt, Długość trasy: 98065.85
Plik: data/paczki_1000_100x130_20.txt, Długość trasy: 61676.23
Plik: data/paczki_1000_100x130_30.txt, Długość trasy: 66624.28
Plik: data/paczki_1000_100x130_40.txt, Długość trasy: 71025.87
Plik: data/paczki_1000_100x130_50.txt, Długość trasy: 74595.30
Plik: data/paczki_1000_100x130_60.txt, Długość trasy: 81057.41
Plik: data/paczki_1000_100x130_70.txt, Długość trasy: 83789.53
Plik: data/paczki_1000_100x130_80.txt, Długość trasy: 90674.69
Plik: data/paczki_1000_100x130_90.txt, Długość trasy: 94867.34
Plik: data/paczki_1000_100x140_10.txt, Długość trasy: 61476.86
Plik: data/paczki_1000_100x140_100.txt, Długość trasy: 103627.21
Plik: data/paczki_1000_100x140_20.txt, Długość trasy: 64794.20
Plik: data/paczki_1000_100x140_30.txt, Długość trasy: 69167.13
Plik: data/paczki_1000_100x140_40.txt, Długość trasy: 74443.73
Plik: data/paczki_1000_100x140_50.txt, Długość trasy: 81588.00
Plik: data/paczki_1000_100x140_60.txt, Długość trasy: 83663.60
Plik: data/paczki_1000_100x140_70.txt, Długość trasy: 89635.52
Plik: data/paczki_1000_100x140_80.txt, Długość trasy: 94977.79
Plik: data/paczki_1000_100x140_90.txt, Długość trasy: 100489.59
Plik: data/paczki_1000_100x150_10.txt, Długość trasy: 61511.70
Plik: data/paczki_1000_100x150_100.txt, Długość trasy: 109029.96
Plik: data/paczki_1000_100x150_20.txt, Długość trasy: 68873.14
Plik: data/paczki_1000_100x150_30.txt, Długość trasy: 71826.64
Plik: data/paczki_1000_100x150_40.txt, Długość trasy: 80190.39
Plik: data/paczki_1000_100x150_50.txt, Długość trasy: 84959.47
Plik: data/paczki_1000_100x150_60.txt, Długość trasy: 90254.99
Plik: data/paczki_1000_100x150_70.txt, Długość trasy: 94413.67
Plik: data/paczki_1000_100x150_80.txt, Długość trasy: 101626.52
Plik: data/paczki_1000_100x150_90.txt, Długość trasy: 102585.99
Plik: data/paczki_1000_100x50_10.txt, Długość trasy: 37396.36
Plik: data/paczki_1000_100x50_100.txt, Długość trasy: 68426.63
