Plik: data/paczki_1000_100x100_10.txt, Czas wykonania: 281 ms
Plik: data/paczki_1000_100x100_100.txt, Czas wykonania: 2235 ms
Plik: data/paczki_1000_100x100_20.txt, Czas wykonania: 764 ms
Plik: data/paczki_1000_100x100_30.txt, Czas wykonania: 1439 ms
Plik: data/paczki_1000_100x100_40.txt, Czas wykonania: 1233 ms
Plik: data/paczki_1000_100x100_50.txt, Czas wykonania: 1975 ms
Plik: data/paczki_1000_100x100_60.txt, Czas wykonania: 2488 ms
Plik: data/paczki_1000_100x100_70.txt, Czas wykonania: 3366 ms
Plik: data/paczki_1000_100x100_80.txt, Czas wykonania: 2767 ms
Plik: data/paczki_1000_100x100_90.txt, Czas wykonania: 2653 ms
Plik: data/paczki_1000_100x110_10.txt, Czas wykonania: 425 ms
Plik: data/paczki_1000_100x110_100.txt, Czas wykonania: 2687 ms
Plik: data/paczki_1000_100x110_20.txt, Czas wykonania: 498 ms
Plik: data/paczki_1000_100x110_30.txt, Czas wykonania: 1122 ms
Plik: data/paczki_1000_100x110_40.txt, Czas wykonania: 1193 ms
Plik: data/paczki_1000_100x110_50.txt, Czas wykonania: 1236 ms
Plik: data/paczki_1000_100x110_60.txt, Czas wykonania: 1564 ms
Plik: data/paczki_1000_100x110_70.txt, Czas wykonania: 2730 ms
Plik: data/paczki_1000_100x110_80.txt, Czas wykonania: 2018 ms
Plik: data/paczki_1000_100x110_90.txt, Czas wykonania: 2312 ms
Plik: data/paczki_1000_100x120_10.txt, Czas wykonania: 341 ms
Plik: data/paczki_1000_100x120_100.txt, Czas wykonania: 2224 ms
Plik: data/paczki_1000_100x120_20.txt, Czas wykonania: 499 ms
Plik: data/paczki_1000_100x120_30.txt, Czas wykonania: 676 ms
Plik: data/paczki_1000_100x120_40.txt, Czas wykonania: 995 ms
Plik: data/paczki_1000_100x120_50.txt, Czas wykonania: 1278 ms
Plik: data/paczki_1000_100x120_60.txt, Czas wykonania: 1418 ms
Plik: data/paczki_1000_100x120_70.txt, Czas wykonania: 1707 ms
Plik: data/paczki_1000_100x120_80.txt, Czas wykonania: 1888 ms
Plik: data/paczki_1000_100x120_90.txt, Czas wykonania: 2061 ms
Plik: data/paczki_1000_100x130_10.txt, Czas wykonania: 257 ms
Plik: data/paczki_1000_100x130_100.txt, Czas wykonania: 2312 ms
Plik: data/paczki_1000_100x130_20.txt, Czas wykonania: 651 ms
Plik: data/paczki_1000_100x130_30.txt, Czas wykonania: 810 ms
Plik: data/paczki_1000_100x130_40.txt, Czas wykonania: 1157 ms
Plik: data/paczki_1000_100x130_50.txt, Czas wykonania: 1466 ms
Plik: data/paczki_1000_100x130_60.txt, Czas wykonania: 2279 ms
Plik: data/paczki_1000_100x130_70.txt, Czas wykonania: 2128 ms
Plik: data/paczki_1000_100x130_80.txt, Czas wykonania: 2275 ms
Plik: data/paczki_1000_100x130_90.txt, Czas wykonania: 3315 ms
Plik: data/paczki_1000_100x140_10.txt, Czas wykonania: 527 ms
Plik: data/paczki_1000_100x140_100.txt, Czas wykonania: 3752 ms
Plik: data/paczki_1000_100x140_20.txt, Czas wykonania: 469 ms
Plik: data/paczki_1000_100x140_30.txt, Czas wykonania: 870 ms
Plik: data/paczki_1000_100x140_40.txt, Czas wykonania: 1947 ms
Plik: data/paczki_1000_100x140_50.txt, Czas wykonania: 2337 ms
Plik: data/paczki_1000_100x140_60.txt, Czas wykonania: 1864 ms
Plik: data/paczki_1000_100x140_70.txt, Czas wykonania: 2183 ms
Plik: data/paczki_1000_100x140_80.txt, Czas wykonania: 2431 ms
Plik: data/paczki_1000_100x140_90.txt, Czas wykonania: 3360 ms
Plik: data/paczki_1000_100x150_10.txt, Czas wykonania: 498 ms
Plik: data/paczki_1000_100x150_100.txt, Czas wykonania: 2337 ms
Plik: data/paczki_1000_100x150_20.txt, Czas wykonania: 576 ms
Plik: data/paczki_1000_100x150_30.txt, Czas wykonania: 706 ms
Plik: data/paczki_1000_100x150_40.txt, Czas wykonania: 1409 ms
Plik: data/paczki_1000_100x150_50.txt, Czas wykonania: 1242 ms
Plik: data/paczki_1000_100x150_60.txt, Czas wykonania: 1989 ms
Plik: data/paczki_1000_100x150_70.txt, Czas wykonania: 1641 ms
Plik: data/paczki_1000_100x150_80.txt, Czas wykonania: 2302 ms
Plik: data/paczki_1000_100x150_90.txt, Czas wykonania: 3449 ms
Plik: data/paczki_1000_100x50_10.txt, Czas wykonania: 248 ms
Plik: data/paczki_1000_100x50_100.txt, Czas wykonania: 2216 ms
Plik: data/paczki_1000_100x50_20.txt, Czas wykonania: 495 ms
Plik: data/paczki_1000_100x50_30.txt, Czas wykonania: 743 ms
Plik: data/paczki_1000_100x50_40.txt, Czas wykonania: 951 ms
Plik: data/paczki_1000_100x50_50.txt
